Title,Link,Policy Area,Focus,Country Coverage,Data Format,Authors,Type,Level of Observation,Start Date,End Date,Source,Language,World Region,Provider
COVID Border Accountability Project (COBAP),https://www.nature.com/articles/s41597-021-01031-5,Non-Pharmaceutical Interventions,documents travel and immigration policies in response to the pandemic on a daily basis.,worldwide,html; csv,[Mary Shiraef](https://politicalscience.nd.edu/people/students/mary-a-shiraef/); Mark Weiss; Ian Wang; Camilla Kline; Nikolas Lazar; Michael Shiraef; Ellen Shiraef; Noah Taylor; Bryn Walker; Rachel Musetti; Hannah Risman; Cayleigh Jackson; Cora Hirst; Aadya Bhaskaran; Elizabeth Beling; Aman Bedi; Layth Mattar; Suzanne Martin; Kriti Desai; Yeshwini Selvaraj; Thuy Nguyen; Amalia Gradie; Sarah Naseer,,national,2020-01-01,2020-12-31,Governmental agencies,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
COVID19-European-Regional-Tracker,https://github.com/asjadnaqvi/COVID19-European-Regional-Tracker,Cases and Deaths,collects COVID-19 cases on a regional level for European countries sourced from national datasets and official websites since there is no centralized database that collates this information at the regional level.,AUT; BEL; DNK; EST; FRA; DEU; GRC; HUN; IRL; LVA; NLD; NOR; POL; PRT; SVK; SVN; ESP; CHE; GBR,html; non-downloadable,[Asjad Naqvi](https://twitter.com/AsjadNaqvi),,sub-national,2020-01-20,up-to-date,Governmental agencies; International organisations,,West Europe; Eastern Europe & Central Asia,Academics
Covidlaws Switzerland,https://covidlaws.net/ch,Non-Pharmaceutical Interventions; Cases and Deaths,collects and visualises social distancing measures on a cantonal level in Switzerland.,CHE,html; non-downloadable,[David Berger](https://twitter.com/BergerWthur),Policy Tracker,sub-national,2020-01-01,up-to-date,Governmental agencies; Academics,,West Europe,Academics
Covid-19 Policy Tracker,https://www.citiesandregions.cn/research/Covid-19-Policy-Tracker,Non-Pharmaceutical Interventions; Regions and Cities,"provides a full record of state/provincial-level (or equivalent first-level subdivisions) public health and social measures (PHSMs) from the outbreak of Covid-19 up to Aug, 2020.",BRA; CHN; DEU; JPN; KOR; GBR,xlsx,[Lun Liu](https://www.citiesandregions.cn/team); Yifan Wang; Zian Zhao; Tingmiao Lv; Dao Rina; Chuchang Tang; [Urban & Regional Policy Lab at Peking University](https://www.citiesandregions.cn/),Policy Tracker,sub-national,2020-01-01,2020-08-30,Governmental agencies; Media,,G20/G7; West Europe; East Asia & Pacific; Latin America & the Caribbean,Academics
International Review of Leave Policies and Related Research 2020,https://www.leavenetwork.org/annual-review-reports/review-2020/,Social and Employment Policy; Health and Care Policy,"Maternity leave; Paternity leave; Parental leave; Childcare leave and Career breaks; and other employment-related measures, including leave to care for sick or disabled relatives.",AUS; AUT; BEL; BRA; BGR; CAN; CHL; CHN; HRV; CYP; DNK; EST; FIN; FRA; DEU; GRC; HUN; ISL; IRL; ISR; ITA; JPN; LVA; LTU; LUX; MLT; MEX; NLD; NZL; NOR; OMN; POL; PRT; ROU; RUS; SVK; SVN; ZAF; ESP; SWE; CHE; GBR; USA; URY,pdf,"[Alison Koslowski](http://www.sps.ed.ac.uk/staff/social_policy/koslowski_alison), [Sonja Blum](https://www.fernuni-hagen.de/polis/lg3/team/sonja.blum.shtml), [Ivana Dobroti?](https://www.incare-pyc.eu/ivana-dobrotic/), [Gayle Kaufman](https://www.davidson.edu/people/gayle-kaufman), [Peter Moss](https://iris.ucl.ac.uk/iris/browse/profile?upi=PGMOS25)",Policy Tracker,national,2020-02-01,2020-06-30,Governmental agencies,,worldwide; West Europe; North America; East Asia & Pacific; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Academics
SMAART RapidTracker,https://www.smaartrapidtracker.org/,Non-Pharmaceutical Interventions; Cases and Deaths,"documents non-pharmaceutical interventions for the USA and India, and cases and deaths worldwide.",worldwide; USA; IND,html; non-downloadable,[Ashish Joshi](https://ashishjoshi.me/),,national; sub-national,2020-01-21,up-to-date,Governmental agencies; International organisations,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Academics
Our World in Data COVID-19 dataset,https://github.com/owid/covid-19-data/tree/master/public/data,Non-Pharmaceutical Interventions; Cases and Deaths; Health and Care Policy; Vaccination,"collects data on confirmed cases, deaths, hospitalizations, testing, and vaccinations of COVID-19.",worldwide; AFG; ALB; DZA; AND; AGO; AIA; ATG; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BIH; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CPV; CYM; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; CIV; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; PYF; GAB; GMB; GEO; DEU; GHA; GIB; GRC; GRL; GRD; GUM; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KOR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MRT; MUS; MEX; MCO; MNG; MSR; MAR; MOZ; MMR; NAM; NPL; NLD; NCL; NZL; NIC; NER; NGA; MNP; NOR; OMN; PAK; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RWA; KNA; LCA; VCT; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SOM; ZAF; ESP; LKA; SDN; SUR; SWE; CHE; TWN; TJK; THA; TGO; TTO; TUN; TUR; TCA; UGA; UKR; ARE; GBR; URY; UZB; VEN; VNM; ESH; YEM; ZMB; ZWE; GGY; IMN; JEY; MNE; SRB; SXM; SSD; XKX; USA,xlsx; csv; json,[Our World in Data](https://twitter.com/OurWorldInData); [Max Roser](https://twitter.com/MaxCRoser); [Joe Hasell](https://twitter.com/JoeHasell); Edouard Mathieu; Diana Beltekian; Hannah Ritchie; Esteban Ortiz-Ospina; Bobbie Macdonald; Charlie Giattino,,national,2020-03-31,up-to-date,Governmental agencies; International organisations; Academics,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Academics
"COVID-19 Resources: Gender Data, Gender, and Data",https://data2x.org/resource-center/gender-and-data-resources-related-to-covid-19/?fbclid=IwAR1eos0OSTKZ_tWQ3sivCa1XCWDnEEbHPNKWGqVqFm-FnYk31BMaR_VdaMc,Gender; Collection of Sources,"collects gender data, gender, and data resources related to COVID-19. Data2X is also monitoring organizations currently advocating for gender data collection and use.",worldwide,html; non-downloadable,[Data2X](https://twitter.com/Data2X),Collection,,2020-03-01,2020-06-30,International organisations; Academics; Think tanks; NGOs; other trackers,,worldwide,Think tanks
Feminist Response to COVID-19,https://www.feministcovidresponse.com/,Gender; Collection of Sources,tracks responses and uplift collective action of feminists around the world.,worldwide,html; non-downloadable,[Feminist Covid Response](https://www.feministcovidresponse.com/),Collection,,2020-03-27,2020-12-03,International organisations; Think tanks; other trackers,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,NGOs
Children and COVID-19 Research Library,https://www.unicef-irc.org/covid-children-library?utm_source=article&utm_medium=link,Education Policy; Gender; Health and Care Policy,"collects research on impacts on children and adolescents. Key topics of the database include child poverty, education, mental health, social protection and child well-being.",worldwide,html; non-downloadable,[UNICEF Innocenti](https://twitter.com/UNICEFInnocenti),Collection,,2020-01-01,up-to-date,International organisations; Academics; Think tanks,,worldwide,International organisations
#Masks4All,https://masks4all.co/what-countries-require-masks-in-public/,Non-Pharmaceutical Interventions,collects what countries require masks in public or recommend masks.,worldwide,html; csv,[#Masks4All](https://masks4all.co/),,national,2020-03-16,2020-12-21,Media,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,NGOs
SARS-CoV-2 and COVID-19 DATA HUB,https://docs.google.com/spreadsheets/d/1mRWA6SrT4C9qdHQsHENXJjJ4Fg1oA4HiLlwob5xOA_M/edit#gid=0,Collection of Sources; Health and Care Policy; Non-Pharmaceutical Interventions,"collectes sources on public health, cases and deaths, quarantines and isolation, and medical research.",worldwide; USA,xlsx; csv,[Erin C. Sanders](https://twitter.com/ErinSandersNP),Collection,,,,Governmental agencies; International organisations; Academics; Media; Think tanks; Companies,,worldwide,Academics
FFJC Covid-19 Fines and Fees Reform Tracker,https://finesandfeesjusticecenter.org/covid-19-policy-tracker/reform-tracker/,"Prisons, Courts and Judiciary Systems",documents fines and fees policies by U.S. states and local governments in response to COVID-19; specifically: debt-based license suspension policies; criminal legal fees; justice system fees; court fees; administrative fees; debt-based arrest warrants; parole and probation fees; private collection agencies; court debt; juvenile fines and fees; budget alternatives to fines and fees.,USA,html; non-downloadable,[Fines and Fees Justice Center (FFJC)](https://finesandfeesjusticecenter.org),Policy Tracker,sub-national,2020-03-01,2021-03-31,Governmental agencies; Media,,North America,NGOs
Corona Daten Plattform,https://www.corona-datenplattform.de/,"Collection of Sources; Non-Pharmaceutical Interventions; Cases and Deaths; Health and Care Policy; Social and Employment Policy; Education Policy; Regions and Cities; Macroeconomic and Financial Policy; Politics, Elections, Policy Making","provides datasets on Germany on a broadrange of issues .disaggregated at the state-, and district level Free registration is required for data access.",DEU,csv,[infas](https://www.infas.de/); [German Federal Ministry for Economic Affairs and Energy](https://www.bmwi.de/Navigation/EN/Home/home.html),Collection,sub-national,2020-03-11,up-to-date,Governmental agencies; Academics,German,West Europe,Governmental agencies
"COVID-19 Nonpharmaceutical Interventions Effectiveness (from on Brauner et al., Science (2020))",https://github.com/epidemics/COVIDNPIs/tree/1.3.6,Non-Pharmaceutical Interventions,"includes gathering bans of various sizes, closures of some businesses, closures of most non-essential businesses, school closures, university closures, stay-at-home orders. ",ALB; AND; AUT; BEL; BIH; BGR; HRV; CZE; DNK; EST; FIN; FRA; GEO; DEU; GRC; HUN; ISL; IND; IRQ; IRL; ISR; ITA; LVA; LTU; MYS; MLT; MEX; MAR; NLD; NZL; NOR; OMN; PAK; POL; PRT; ROU; SGP; SVK; SVN; ZAF; ESP; SWE; CHE; GBR; SRB,csv,"[Jan Brauner](https://twitter.com/JanMBrauner), [Sören Mindermann](https://twitter.com/sorenmind), [Mrinank Sharma](https://twitter.com/MrinankSharma)",Policy Tracker,national,2020-01-01,2020-05-31,Governmental agencies; Media; Academics,,West Europe; Eastern Europe & Central Asia; Middle East & North Africa; Southeast Asia; Sub-Saharan Africa; East Asia & Pacific,Academics
Green Recovery Tracker,https://www.greenrecoverytracker.org,Environmental Policy,assesses the alignment of EU member states’ national Covid-19 recovery programmes with the transition to climate neutrality.,EU; AUT; BGR; CZE; EST; FIN; FRA; DEU; GRC; HUN; IRL; ITA; LVA; NLD; POL; PRT; ROU; SVK; SVN; ESP,html; csv,[Green Recovery Tracker](https://twitter.com/GreenRecTracker); [Wuppertal Institut](https://twitter.com/Wupperinst); [E3G - Third Generation Environmentalism](https://twitter.com/E3G); [Felix Heilmann](https://twitter.com/HeilmannFelix),Policy Tracker,national,2021-01-01,up-to-date,Governmental agencies; Think tanks,,West Europe; Eastern Europe & Central Asia,Think tanks
Aid from China and the U.S. to Latin America amid the COVID-19 Crisis,https://www.wilsoncenter.org/aid-china-and-us-latin-america-amid-covid-19-crisis,"International Development, Philanthropy; Trade Policy and FDI","summarizes China’s and the United States’ assistance to Latin American countries, including grants and shipments of personal protective equipment",ARG; BOL; BRA; CHL; CHN; COL; CRI; CUB; DMA; DOM; ECU; SLV; GTM; HTI; HND; MEX; NIC; PAN; PRY; PER; USA; URY; VEN,html; non-downloadable,[The Wilson Center](https://twitter.com/thewilsoncenter),,national,2020-03-11,up-to-date,Governmental agencies; Media,,Latin America & the Caribbean,Think tanks
Mobility and border control in response to the COVID-19 outbreak dataset,https://cadmus.eui.eu/handle/1814/68358,Non-Pharmaceutical Interventions; Civic Freedom and Human Rights,travel restrictions and decisions regarding border closures and lockdowns in 27 European countries from 1 March to 20 June 2020.,AUT; BEL; BGR; HRV; CYP; CZE; DNK; EST; FIN; FRA; DEU; GRC; HUN; ISL; IRL; ITA; LVA; LIE; LTU; LUX; MLT; NLD; NOR; OMN; POL; PRT; ROU; SVK; SVN; ESP; SWE; CHE,csv,[Lorenzo Piccoli](https://twitter.com/piccolimeister); [Leslie Ader](https://twitter.com/LeslieAder); [Paula Hoffmeyer](https://twitter.com/PZlotnik); Christina Mittmasser; Oliver Pedersen; Aurélie Pont; Frowin Rausis; Petra Sidler,Policy Tracker,national,2020-03-01,2020-06-20,Governmental agencies; International organisations; Media,,West Europe; Eastern Europe & Central Asia,Academics
International travel restrictions in response to the COVID-19 outbreak dataset ,https://cadmus.eui.eu/handle/1814/68359,Non-Pharmaceutical Interventions; Civic Freedom and Human Rights,travel restrictions globally from 24 January 2020 to 24 October 2020. It documents the evolution of the types and scope of international travel bans and exceptions to them.,AFG; ALB; DZA; AND; AGO; ATG; ARG; ARM; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BIH; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRD; GTM; GIN; GNB; GUY; HTI; HND; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; PRK; KOR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MCO; MNG; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RWA; KNA; LCA; VCT; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TJK; THA; TLS; TGO; TON; TTO; TUN; TUR; TKM; TUV; UGA; UKR; ARE; GBR; USA; URY; UZB; VUT; VEN; VNM; YEM; ZMB; ZWE; MNE; SRB; SSD,csv,[Lorenzo Piccoli](https://twitter.com/piccolimeister); Jelena Dzankic; Andreas Perret; [Didier Ruedin](https://twitter.com/DidierRuedin); [Timothy Jacob-Owens](https://twitter.com/TJacobOwens),Policy Tracker,national,2020-01-24,2020-10-24,Governmental agencies; International organisations; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
Project Lockdown,https://ProjectLockdown.world,Non-Pharmaceutical Interventions,"Official pronouncements on policies that may affect human and digital rights, such as lockdown measures, restrictions on daily life and mobility, and the use of the military and state of emergency powers, based on how they interact with internationally-recognized human rights treaties.",worldwide,xlsx; json,[The IO Foundation](https://TheIOFoundation.org),Policy Tracker,national,2020-01-01,up-to-date,Governmental agencies; International organisations,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Think tanks
WFP Global Monitoring of School Meals During COVID-19 School Closures ,https://cdn.wfp.org/2020/school-feeding-map/index.html,Health and Care Policy; Education Policy,"School closures and the number of children missing out on school meals, policy solutions from national governments and the World Food Programme",ARG; BRB; BLZ; BOL; BRA; BGR; CPV; CAN; CYM; CHL; COL; COK; CRI; DOM; SLV; FRA; GTM; IND; IRL; JAM; JPN; LBR; PER; ZAF; ESP; TTO; GBR; USA; URY,html,[World Food Programme](https://twitter.com/wfp),Policy Tracker,national,2020-03-16,2020-09-04,Governmental agencies; International organisations; Media,,North America; West Europe; Latin America & the Caribbean; Sub-Saharan Africa; Southeast Asia,International organisations
